YearMonth,month,year,Agency,SKU,Avg_Population_2017,Avg_Yearly_Household_Income_2017,Easter.Day,Good.Friday,New.Year,Christmas,Labor.Day,Independence.Day,Revolution.Day.Memorial,Regional.Games,FIFA.U.17.World.Cup,Football.Gold.Cup,Beer.Capital,Music.Fest,Volume,Soda_Volume,Industry_Volume,Price,Sales,Promotions,Avg_Max_Temp,SKU_index,Agency_index,month_index
201301,1,2013,Agency_01,SKU_01,153733,120207,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80.676,718394219,492612703,1141.5,1033.432731,108.067269,17.072,1,1,1
201301,1,2013,Agency_01,SKU_02,153733,120207,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,78.408,718394219,492612703,1074.157799,969.1862085,104.9715905,17.072,2,1,1
201301,1,2013,Agency_01,SKU_03,153733,120207,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35.955,718394219,492612703,1239.734043,1141.894806,97.839237,17.072,3,1,1
201301,1,2013,Agency_01,SKU_04,153733,120207,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,230.2956,718394219,492612703,1725.711827,1467.68186,258.029967,17.072,4,1,1
201301,1,2013,Agency_01,SKU_05,153733,120207,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15.975,718394219,492612703,1260.322817,1172.763381,87.559436,17.072,5,1,1
201301,1,2013,Agency_01,SKU_11,153733,120207,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.668,718394219,492612703,1779.102113,1672.084507,107.017606,17.072,11,1,1
201301,1,2013,Agency_02,SKU_01,3137874,240809,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6512.94,718394219,492612703,1112.754748,1033.372521,79.382227,22.14791667,1,2,1
201301,1,2013,Agency_02,SKU_02,3137874,240809,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8422.164,718394219,492612703,1076.408593,994.1781096,82.2304834,22.14791667,2,2,1
201301,1,2013,Agency_02,SKU_03,3137874,240809,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7332.0282,718394219,492612703,1250.300782,1129.909681,120.391101,22.14791667,3,2,1
201301,1,2013,Agency_02,SKU_04,3137874,240809,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6256.3851,718394219,492612703,1657.989782,1489.516871,168.472911,22.14791667,4,2,1
201301,1,2013,Agency_02,SKU_05,3137874,240809,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2629.2933,718394219,492612703,1291.025776,1117.887419,173.138357,22.14791667,5,2,1
201301,1,2013,Agency_02,SKU_11,3137874,240809,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,718394219,492612703,0,0,0,22.14791667,11,2,1
201301,1,2013,Agency_02,SKU_12,3137874,240809,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69.825,718394219,492612703,1116.27,1116.27,0,22.14791667,12,2,1
201301,1,2013,Agency_02,SKU_31,3137874,240809,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,92.4825,718394219,492612703,1101.905085,1101.905085,0,22.14791667,31,2,1
201301,1,2013,Agency_02,SKU_34,3137874,240809,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,106.6425,718394219,492612703,1101.905085,1101.905085,0,22.14791667,34,2,1
201301,1,2013,Agency_03,SKU_01,1538040,217280,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3546.72,718394219,492612703,1159.493185,1084.36514,75.128045,21.20731707,1,3,1
